noise,hops,mode,hits1,f1,proof_rate,n_queries,time_s
0.0,1,sell,1.0,1.0,1.0,100,0.22200894355773926
0.0,1,classic_lp,1.0,1.0,1.0,100,0.21334505081176758
0.0,1,neural_only,1.0,0.6694047619047615,0.0,100,0.005171060562133789
0.0,2,sell,1.0,1.0,1.0,100,0.49544596672058105
0.0,2,classic_lp,1.0,1.0,1.0,100,0.4812002182006836
0.0,2,neural_only,0.01,0.0013333333333333333,0.0,100,0.004855155944824219
0.0,3,sell,1.0,0.9996134020618557,1.0,80,0.2132110595703125
0.0,3,classic_lp,1.0,0.9996134020618557,1.0,80,0.1823570728302002
0.0,3,neural_only,0.075,0.005962254120148856,0.0,80,0.004106998443603516
0.3,1,sell,0.66,0.6474242424242423,0.66,100,0.21629691123962402
0.3,1,classic_lp,0.66,0.6474242424242423,0.66,100,0.21306514739990234
0.3,1,neural_only,1.0,0.6931666666666664,0.0,100,0.0049479007720947266
0.3,2,sell,0.95,0.7467942612942613,1.0,100,0.4913971424102783
0.3,2,classic_lp,0.95,0.7467942612942613,1.0,100,0.4749629497528076
0.3,2,neural_only,0.01,0.0013333333333333333,0.0,100,0.004806041717529297
0.3,3,sell,0.8875,0.6824763797383906,0.8875,80,0.20830821990966797
0.3,3,classic_lp,0.8875,0.6824763797383906,0.8875,80,0.1807548999786377
0.3,3,neural_only,0.075,0.005734079516974254,0.0,80,0.0043027400970458984
