retriever,K,hops,mode,hits1,f1,proof_rate,budget_overflow,total_traces,n_queries,time_s
tfidf,25,1,sell,0.9933333333333333,0.991111111111111,0.9933333333333333,0,219,150,2.332571029663086
tfidf,25,1,classic_lp,0.9933333333333333,0.991111111111111,0.9933333333333333,0,219,150,2.121202230453491
tfidf,25,1,neural_only,0.5133333333333333,0.35055551855551853,0.0,0,0,150,0.0015399456024169922
tfidf,25,2,sell,0.9933333333333333,0.9855829069645671,0.9933333333333333,0,686,150,2.108875036239624
tfidf,25,2,classic_lp,0.9933333333333333,0.9855829069645671,0.9933333333333333,0,686,150,1.8848631381988525
tfidf,25,2,neural_only,0.11333333333333333,0.0664118844118844,0.0,0,0,150,0.0014040470123291016
tfidf,25,3,sell,0.0,0.0,0.0,0,0,150,1.0399620532989502
tfidf,25,3,classic_lp,0.0,0.0,0.0,0,0,150,0.9416146278381348
tfidf,25,3,neural_only,0.52,0.21697107712899125,0.0,0,0,150,0.0011990070343017578
bm25,25,1,sell,0.9733333333333334,0.9733333333333334,0.9733333333333334,0,217,150,2.4090311527252197
bm25,25,1,classic_lp,0.9733333333333334,0.9733333333333334,0.9733333333333334,0,217,150,2.305004835128784
bm25,25,1,neural_only,0.4866666666666667,0.3215926350338115,0.0,0,0,150,0.0015499591827392578
bm25,25,2,sell,0.9933333333333333,0.9852963380705315,0.9933333333333333,0,678,150,2.1816320419311523
bm25,25,2,classic_lp,0.9933333333333333,0.9852963380705315,0.9933333333333333,0,678,150,2.0498366355895996
bm25,25,2,neural_only,0.11333333333333333,0.056621315192743764,0.0,0,0,150,0.0017409324645996094
bm25,25,3,sell,0.006666666666666667,0.0009523809523809525,0.006666666666666667,0,1,150,1.1429810523986816
bm25,25,3,classic_lp,0.006666666666666667,0.0009523809523809525,0.006666666666666667,0,1,150,1.028097152709961
bm25,25,3,neural_only,0.54,0.2146984190688692,0.0,0,0,150,0.0013108253479003906
tfidf_iter,25,1,sell,0.9666666666666667,0.9564444444444444,0.9666666666666667,0,210,150,2.404129981994629
tfidf_iter,25,1,classic_lp,0.9666666666666667,0.9564444444444444,0.9666666666666667,0,210,150,2.2103519439697266
tfidf_iter,25,1,neural_only,0.5666666666666667,0.4056046176046176,0.0,0,0,150,0.0014829635620117188
tfidf_iter,25,2,sell,0.98,0.9674675885911842,0.98,0,659,150,2.2841408252716064
tfidf_iter,25,2,classic_lp,0.98,0.9674675885911842,0.98,0,659,150,1.9078521728515625
tfidf_iter,25,2,neural_only,0.16,0.08350640693337547,0.0,0,0,150,0.0016279220581054688
tfidf_iter,25,3,sell,0.21333333333333335,0.1259069282659815,0.21333333333333335,0,117,150,1.0853090286254883
