retriever,K,hops,obs_recall
tfidf,25,1,0.99
tfidf,25,2,0.9663375682288726
tfidf,25,3,0.2089704431525752
bm25,25,1,0.9733333333333334
bm25,25,2,0.9736811907898865
bm25,25,3,0.20927708095921305
tfidf_iter,25,1,0.951111111111111
tfidf_iter,25,2,0.9505994729907773
tfidf_iter,25,3,0.25352211918382495
tfidf,50,1,0.9933333333333333
tfidf,50,2,0.9923962921136835
tfidf,50,3,0.21691099442235393
bm25,50,1,0.98
bm25,50,2,0.9958051948051949
bm25,50,3,0.22092827204684481
tfidf_iter,50,1,0.99
tfidf_iter,50,2,0.9720270719618544
tfidf_iter,50,3,0.3162215301536413
tfidf,100,1,1.0
tfidf,100,2,1.0
tfidf,100,3,0.22691664413986803
bm25,100,1,0.9866666666666667
bm25,100,2,1.0
bm25,100,3,0.2297986424172152
tfidf_iter,100,1,0.9933333333333333
tfidf_iter,100,2,0.995873015873016
tfidf_iter,100,3,0.3323320069572091
