retriever,K,hops,mode,hits1,f1,proof_rate,obs_recall,budget_overflow,total_traces,n_queries,time_s
trained_path,50,1,sell,0.9,0.9,0.9,0.9,0,202,150,2.1451783180236816
trained_path,50,1,classic_lp,0.9,0.9,0.9,0.9,0,202,150,2.1555330753326416
trained_path,50,1,neural_only,0.9733333333333334,0.9711111111111113,0.0,0.9,0,0,150,0.0006158351898193359
trained_path,50,2,sell,0.84,0.84,0.84,0.84,0,661,150,1.9819228649139404
trained_path,50,2,classic_lp,0.84,0.84,0.84,0.84,0,661,150,1.8788716793060303
trained_path,50,2,neural_only,0.98,0.9234624238998053,0.0,0.84,0,0,150,0.000982046127319336
trained_path,50,3,sell,0.8333333333333334,0.8273211762437768,0.8333333333333334,0.9017652833982023,0,1316,150,1.0389399528503418
trained_path,50,3,classic_lp,0.8666666666666667,0.8606545095771101,0.8666666666666667,0.9017652833982023,0,1321,150,0.9547221660614014
trained_path,50,3,neural_only,0.8866666666666667,0.5358226993070667,0.0,0.9017652833982023,0,0,150,0.0016508102416992188
trained_path,100,1,sell,0.9,0.9,0.9,0.9,0,202,150,2.136540174484253
trained_path,100,1,classic_lp,0.9,0.9,0.9,0.9,0,202,150,2.100088119506836
trained_path,100,1,neural_only,0.9733333333333334,0.9711111111111113,0.0,0.9,0,0,150,0.0005910396575927734
trained_path,100,2,sell,0.84,0.84,0.84,0.84,0,661,150,1.969452142715454
trained_path,100,2,classic_lp,0.84,0.84,0.84,0.84,0,661,150,1.8770289421081543
trained_path,100,2,neural_only,0.98,0.9227572956946771,0.0,0.84,0,0,150,0.0009763240814208984
trained_path,100,3,sell,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9193655080828993,0,1347,150,1.0470829010009766
trained_path,100,3,classic_lp,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9193655080828993,0,1352,150,0.9445540904998779
trained_path,100,3,neural_only,0.9466666666666667,0.5504367983727376,0.0,0.9193655080828993,0,0,150,0.0019559860229492188
trained_path,200,1,sell,0.9,0.9,0.9,0.9,0,202,150,2.105107069015503
trained_path,200,1,classic_lp,0.9,0.9,0.9,0.9,0,202,150,2.1101441383361816
trained_path,200,1,neural_only,0.9733333333333334,0.9711111111111113,0.0,0.9,0,0,150,0.0005960464477539062
trained_path,200,2,sell,0.84,0.84,0.84,0.84,0,661,150,1.9570808410644531
trained_path,200,2,classic_lp,0.84,0.84,0.84,0.84,0,661,150,1.8753418922424316
trained_path,200,2,neural_only,0.98,0.9227572956946771,0.0,0.84,0,0,150,0.0009987354278564453
trained_path,200,3,sell,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9193655080828993,0,1347,150,1.0485010147094727
trained_path,200,3,classic_lp,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9193655080828993,0,1352,150,0.9432380199432373
trained_path,200,3,neural_only,0.9466666666666667,0.5517090388275089,0.0,0.9193655080828993,0,0,150,0.0021409988403320312
