question_id,noise_rate,mode,m,budget,true_positives,false_positives,false_negatives,precision,recall,f1
3hop_comp_0,0.0,classic_lp,0,0,73,0,0,1.0,1.0,1.0
3hop_comp_0,0.0,sell,1,20,22,0,51,1.0,0.3013698630136986,0.4631578947368421
3hop_comp_0,0.0,sell,2,20,34,0,39,1.0,0.4657534246575342,0.6355140186915887
3hop_comp_0,0.0,sell,3,20,38,0,35,1.0,0.5205479452054794,0.6846846846846847
3hop_comp_0,0.0,sell,1,200,22,0,51,1.0,0.3013698630136986,0.4631578947368421
3hop_comp_0,0.0,sell,2,200,34,0,39,1.0,0.4657534246575342,0.6355140186915887
3hop_comp_0,0.0,sell,3,200,38,0,35,1.0,0.5205479452054794,0.6846846846846847
3hop_comp_3,0.0,classic_lp,0,0,75,0,0,1.0,1.0,1.0
3hop_comp_3,0.0,sell,1,20,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_3,0.0,sell,2,20,36,0,39,1.0,0.48,0.6486486486486487
3hop_comp_3,0.0,sell,3,20,36,0,39,1.0,0.48,0.6486486486486487
3hop_comp_3,0.0,sell,1,200,25,0,50,1.0,0.3333333333333333,0.5
3hop_comp_3,0.0,sell,2,200,36,0,39,1.0,0.48,0.6486486486486487
3hop_comp_3,0.0,sell,3,200,36,0,39,1.0,0.48,0.6486486486486487
3hop_comp_9,0.0,classic_lp,0,0,60,0,0,1.0,1.0,1.0
3hop_comp_9,0.0,sell,1,20,17,0,43,1.0,0.2833333333333333,0.4415584415584416
3hop_comp_9,0.0,sell,2,20,25,0,35,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_9,0.0,sell,3,20,25,0,35,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_9,0.0,sell,1,200,17,0,43,1.0,0.2833333333333333,0.4415584415584416
3hop_comp_9,0.0,sell,2,200,25,0,35,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_9,0.0,sell,3,200,25,0,35,1.0,0.4166666666666667,0.5882352941176471
3hop_comp_10,0.0,classic_lp,0,0,76,0,0,1.0,1.0,1.0
3hop_comp_10,0.0,sell,1,20,24,0,52,1.0,0.3157894736842105,0.4799999999999999
3hop_comp_10,0.0,sell,2,20,38,0,38,1.0,0.5,0.6666666666666666
3hop_comp_10,0.0,sell,3,20,41,0,35,1.0,0.5394736842105263,0.7008547008547009
3hop_comp_10,0.0,sell,1,200,24,0,52,1.0,0.3157894736842105,0.4799999999999999
3hop_comp_10,0.0,sell,2,200,38,0,38,1.0,0.5,0.6666666666666666
3hop_comp_10,0.0,sell,3,200,41,0,35,1.0,0.5394736842105263,0.7008547008547009
3hop_comp_13,0.0,classic_lp,0,0,74,0,0,1.0,1.0,1.0
3hop_comp_13,0.0,sell,1,20,22,0,52,1.0,0.2972972972972973,0.4583333333333333
3hop_comp_13,0.0,sell,2,20,32,0,42,1.0,0.43243243243243246,0.6037735849056604
3hop_comp_13,0.0,sell,3,20,38,0,36,1.0,0.5135135135135135,0.6785714285714285
3hop_comp_13,0.0,sell,1,200,22,0,52,1.0,0.2972972972972973,0.4583333333333333
3hop_comp_13,0.0,sell,2,200,32,0,42,1.0,0.43243243243243246,0.6037735849056604
3hop_comp_13,0.0,sell,3,200,38,0,36,1.0,0.5135135135135135,0.6785714285714285
3hop_comp_15,0.0,classic_lp,0,0,64,0,0,1.0,1.0,1.0
3hop_comp_15,0.0,sell,1,20,15,0,49,1.0,0.234375,0.379746835443038
3hop_comp_15,0.0,sell,2,20,21,0,43,1.0,0.328125,0.49411764705882355
3hop_comp_15,0.0,sell,3,20,21,0,43,1.0,0.328125,0.49411764705882355
3hop_comp_15,0.0,sell,1,200,15,0,49,1.0,0.234375,0.379746835443038
3hop_comp_15,0.0,sell,2,200,21,0,43,1.0,0.328125,0.49411764705882355
3hop_comp_15,0.0,sell,3,200,21,0,43,1.0,0.328125,0.49411764705882355
3hop_comp_21,0.0,classic_lp,0,0,79,0,0,1.0,1.0,1.0
3hop_comp_21,0.0,sell,1,20,34,0,45,1.0,0.43037974683544306,0.6017699115044248
3hop_comp_21,0.0,sell,2,20,43,0,36,1.0,0.5443037974683544,0.7049180327868853
3hop_comp_21,0.0,sell,3,20,47,0,32,1.0,0.5949367088607594,0.7460317460317459
3hop_comp_21,0.0,sell,1,200,34,0,45,1.0,0.43037974683544306,0.6017699115044248
3hop_comp_21,0.0,sell,2,200,43,0,36,1.0,0.5443037974683544,0.7049180327868853
3hop_comp_21,0.0,sell,3,200,47,0,32,1.0,0.5949367088607594,0.7460317460317459
3hop_comp_26,0.0,classic_lp,0,0,80,0,0,1.0,1.0,1.0
3hop_comp_26,0.0,sell,1,20,35,0,45,1.0,0.4375,0.6086956521739131
