retriever,K,hops,mode,hits1,f1,proof_rate,budget_overflow,total_traces,n_queries,time_s
tfidf,10,1,sell,0.97,0.97,0.97,0,111,100,0.3210899829864502
tfidf,10,1,classic_lp,0.97,0.97,0.97,0,111,100,0.3004798889160156
tfidf,10,1,neural_only,0.78,0.3432806082806082,0.0,0,0,100,0.06909799575805664
tfidf,10,2,sell,1.0,1.0,1.0,0,247,100,0.6365752220153809
tfidf,10,2,classic_lp,1.0,1.0,1.0,0,247,100,0.5781571865081787
tfidf,10,2,neural_only,0.01,0.0013333333333333333,0.0,0,0,100,0.08113574981689453
tfidf,10,3,sell,0.15,0.050868635513123185,0.15,0,79,80,0.27427101135253906
tfidf,10,3,classic_lp,0.15,0.050868635513123185,0.15,0,79,80,0.26807498931884766
tfidf,10,3,neural_only,0.0,0.0,0.0,0,0,80,0.07460689544677734
bm25,10,1,sell,0.8,0.8,0.8,0,94,100,0.46329593658447266
bm25,10,1,classic_lp,0.8,0.8,0.8,0,94,100,0.43969297409057617
bm25,10,1,neural_only,0.73,0.2432510267510268,0.0,0,0,100,0.20754718780517578
bm25,10,2,sell,1.0,1.0,1.0,0,247,100,0.8909430503845215
bm25,10,2,classic_lp,1.0,1.0,1.0,0,247,100,0.8598461151123047
bm25,10,2,neural_only,0.01,0.0013333333333333333,0.0,0,0,100,0.3709080219268799
bm25,10,3,sell,0.1125,0.043311617969263534,0.1125,0,66,80,0.6491401195526123
bm25,10,3,classic_lp,0.1125,0.043311617969263534,0.1125,0,66,80,0.6362349987030029
bm25,10,3,neural_only,0.025,0.002598752598752599,0.0,0,0,80,0.4481241703033447
dense,10,1,sell,0.99,0.99,0.99,0,113,100,5.501230716705322
dense,10,1,classic_lp,0.99,0.99,0.99,0,113,100,2.0866878032684326
dense,10,1,neural_only,0.9,0.35062770562770545,0.0,0,0,100,1.5173919200897217
dense,10,2,sell,1.0,0.9966666666666667,1.0,0,246,100,2.7682738304138184
dense,10,2,classic_lp,1.0,0.9966666666666667,1.0,0,246,100,2.565814733505249
dense,10,2,neural_only,0.04,0.013357142857142856,0.0,0,0,100,1.6005001068115234
dense,10,3,sell,0.2125,0.09351820465514922,0.2125,0,143,80,2.125952959060669
dense,10,3,classic_lp,0.2125,0.09351820465514922,0.2125,0,143,80,1.7168476581573486
dense,10,3,neural_only,0.0875,0.007083502195204322,0.0,0,0,80,1.2134273052215576
tfidf,25,1,sell,1.0,1.0,1.0,0,114,100,0.442075252532959
tfidf,25,1,classic_lp,1.0,1.0,1.0,0,114,100,0.2961108684539795
tfidf,25,1,neural_only,0.45,0.17106539110771432,0.0,0,0,100,0.0694112777709961
tfidf,25,2,sell,1.0,1.0,1.0,0,247,100,0.6392092704772949
tfidf,25,2,classic_lp,1.0,1.0,1.0,0,247,100,0.5626609325408936
tfidf,25,2,neural_only,0.02,0.0033333333333333335,0.0,0,0,100,0.08369803428649902
tfidf,25,3,sell,0.1875,0.07068582918901249,0.1875,0,96,80,0.28815317153930664
tfidf,25,3,classic_lp,0.1875,0.07068582918901249,0.1875,0,96,80,0.2567870616912842
tfidf,25,3,neural_only,0.1875,0.01520845877075214,0.0,0,0,80,0.07015085220336914
bm25,25,1,sell,0.81,0.81,0.81,0,95,100,0.4695568084716797
bm25,25,1,classic_lp,0.81,0.81,0.81,0,95,100,0.4377572536468506
bm25,25,1,neural_only,0.56,0.13256921858847004,0.0,0,0,100,0.22387909889221191
bm25,25,2,sell,1.0,1.0,1.0,0,247,100,0.9521999359130859
bm25,25,2,classic_lp,1.0,1.0,1.0,0,247,100,0.8950068950653076
bm25,25,2,neural_only,0.03,0.0036209150326797384,0.0,0,0,100,0.36507511138916016
bm25,25,3,sell,0.1375,0.04889495130259687,0.1375,0,76,80,0.6665258407592773
bm25,25,3,classic_lp,0.1375,0.04889495130259687,0.1375,0,76,80,0.6251862049102783
bm25,25,3,neural_only,0.2125,0.016364503153184988,0.0,0,0,80,0.4328770637512207
dense,25,1,sell,1.0,1.0,1.0,0,114,100,2.473015069961548
dense,25,1,classic_lp,1.0,1.0,1.0,0,114,100,2.423496961593628
