retriever,K,hops,obs_recall
tfidf,10,1,0.97
tfidf,10,2,1.0
tfidf,10,3,0.2272666994275933
bm25,10,1,0.8
bm25,10,2,1.0
bm25,10,3,0.18880297259070472
dense,10,1,0.99
dense,10,2,0.995
dense,10,3,0.23368633167443137
tfidf,25,1,1.0
tfidf,25,2,1.0
tfidf,25,3,0.23340847431936823
bm25,25,1,0.81
bm25,25,2,1.0
bm25,25,3,0.22123495339584726
dense,25,1,1.0
dense,25,2,0.995
dense,25,3,0.26060168015034496
tfidf,50,1,1.0
tfidf,50,2,1.0
tfidf,50,3,0.24371691587780978
bm25,50,1,0.83
bm25,50,2,1.0
bm25,50,3,0.23242633146222533
dense,50,1,1.0
dense,50,2,0.995
dense,50,3,0.271992903306274
